Year,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,,,,,,,,,,,,,,8.5,,,,,,,,9.1,,,,,,,12.4,,12.8,,,,,,14.7
Denmark,,,,,,,,,,5.5,,,,,,,7.6,,,,,,9.5,,,,,11.4,,,,,13.4,,,14.2,14.9
Finland,6.6,7.4,7.4,7.3,7.2,7.6,7.7,6.7,7.5,8.3,7.8,8.3,8.4,8.8,8.6,8.9,9.5,10.4,10.2,9.9,9.5,10.1,11.2,11.4,11.8,12.8,14,14.1,14.3,14.9,15.7,14.9,15.6,16.6,15.8,15.7,18.3
France,,,,,,,,,,,,,5.8,5.7,6.5,6.6,6.9,7,8.3,7.4,8.2,,9,,9.4,,9.4,,10.5,,12.2,,12.9,,14.5,,15.3
Germany,,,,,,,,,,,,,,,,,,,,,,11.5,,,,12.9,,13.6,,,15.8,14.7,,,,15.7,16.9
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4,,17.6,17.3,,,,,17.3
Hungary,,,,,,,,,,,,,,,,,,,,,,,18.2,,,18.8,,,,,20,20,,,,,21.2
Iceland,,,,,,,,,,,,,7.5,,,,,,,,,,,,12.4,,,,,20.1,20.1,,21,,22.2,,
Ireland,,,,,,,,,,,,,,,,,,,,,11,,,,15,,,,,15,,,,,,,23
Italy,,,,,,,,,,,,,,,,,7,,,,,8.8,8.6,8.5,8.5,9,,9.9,10.2,9.9,9.9,10.3,10.3,10,10.4,10.3,10.3
Netherlands,,,,5.1,4.7,4.8,5.2,5,4.8,5.3,4.8,6.3,6.1,5.8,6.4,6.1,7,6.9,6.9,8.1,8.4,8.7,9.4,9.3,9.7,10.7,10.9,10.7,11.3,11.2,11.1,11.8,11.4,11.4,12,11.1,13.3
Norway,,,,,,,,,,,,,,,,,,5,,,6,,,,8,,,9,,,10,,,,10,,
Poland,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,12.5,,,,16.4,15.8,,,,,17.2
Portugal,,,,,,,,,,,,,,,,,,,11.5,,,12.8,,,,,,,15.4,,,,,,,,16.6
Spain,,,,,,,,,,6.8,,,,,,8.8,,10.3,,11.7,,,,12.6,,13.1,,,14.9,,15.7,15.7,,16.6,,,16.7
Sweden,,,,,,,,,,,,5.5,,,,,,,,7.9,8.1,8.1,9.2,9.2,10.3,9.8,9.9,10.9,9,10.6,10.3,10.9,11.3,11,11.8,11.7,14
Switzerland,,,,,,,,,,,,,,,5.4,,,,,6.8,,,,,7.7,,,,,8.1,8.1,,,,10.3,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,15.2,,16.9,,17.2,,19.9
United Kingdom,,,7,,,,,,,10,,,,14,14,14.9,15.7,16.4,17.5,18.4,19.4,20,21.2,22.4,22.5,22.6,22.9,23.2,23.9,24,24.5,23,26.1,24.8,24.7,24.9,25.6
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,WTF,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,WTF,,,,
United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,WTF,,,,
